	value	index	group	
A1	10	Fecal_output	CTRL	
A2	10	Fecal_output	CTRL	
A3	9	Fecal_output	CTRL	
A4	10	Fecal_output	CTRL	
A5	10	Fecal_output	CTRL	
A6	9	Fecal_output	CTRL	
A7	5	Fecal_output	LOP	
A8	6	Fecal_output	LOP	
A9	6	Fecal_output	LOP	
A10	5	Fecal_output	LOP	
A11	6	Fecal_output	LOP	
A12	7	Fecal_output	LOP	
A13	10	Fecal_output	PHE	
A14	10	Fecal_output	PHE	
A15	10	Fecal_output	PHE	
A16	10	Fecal_output	PHE	
A17	10	Fecal_output	PHE	
A18	11	Fecal_output	PHE	
A19	10	Fecal_output	B. lon 4	
A20	11	Fecal_output	B. lon 4	
A21	10	Fecal_output	B. lon 4	
A22	10	Fecal_output	B. lon 4	
A23	10	Fecal_output	B. lon 4	
A24	11	Fecal_output	B. lon 4	
A25	11	Fecal_output	B. lon 70	
A26	10	Fecal_output	B. lon 70	
A27	11	Fecal_output	B. lon 70	
A28	12	Fecal_output	B. lon 70	
A29	11	Fecal_output	B. lon 70	
A30	10	Fecal_output	B. lon 70	
A43	10	Fecal_output	B. lon 8	
A44	10	Fecal_output	B. lon 8	
A45	9	Fecal_output	B. lon 8	
A46	9	Fecal_output	B. lon 8	
A47	9	Fecal_output	B. lon 8	
A48	9	Fecal_output	B. lon 8	
A31	7	Fecal_output	B. lon 39	
A32	6	Fecal_output	B. lon 39	
A33	6	Fecal_output	B. lon 39	
A34	7	Fecal_output	B. lon 39	
A35	6	Fecal_output	B. lon 39	
A36	6	Fecal_output	B. lon 39	
A37	7	Fecal_output	B. lon 6	
A38	7	Fecal_output	B. lon 6	
A39	6	Fecal_output	B. lon 6	
A40	7	Fecal_output	B. lon 6	
A41	6	Fecal_output	B. lon 6	
A42	6	Fecal_output	B. lon 6	
A49	191	Whole_gut_transit_time	CTRL	
A50	169	Whole_gut_transit_time	CTRL	
A51	161	Whole_gut_transit_time	CTRL	
A52	179	Whole_gut_transit_time	CTRL	
A53	171	Whole_gut_transit_time	CTRL	
A54	167	Whole_gut_transit_time	CTRL	
A55	269	Whole_gut_transit_time	LOP	
A56	256	Whole_gut_transit_time	LOP	
A57	271	Whole_gut_transit_time	LOP	
A58	266	Whole_gut_transit_time	LOP	
A59	284	Whole_gut_transit_time	LOP	
A60	269	Whole_gut_transit_time	LOP	
A61	167	Whole_gut_transit_time	PHE	
A62	171	Whole_gut_transit_time	PHE	
A63	175	Whole_gut_transit_time	PHE	
A64	180	Whole_gut_transit_time	PHE	
A65	156	Whole_gut_transit_time	PHE	
A66	168	Whole_gut_transit_time	PHE	
A67	156	Whole_gut_transit_time	B. lon 4	
A68	167	Whole_gut_transit_time	B. lon 4	
A69	171	Whole_gut_transit_time	B. lon 4	
A70	169	Whole_gut_transit_time	B. lon 4	
A71	178	Whole_gut_transit_time	B. lon 4	
A72	179	Whole_gut_transit_time	B. lon 4	
A73	179	Whole_gut_transit_time	B. lon 70	
A74	171	Whole_gut_transit_time	B. lon 70	
A75	178	Whole_gut_transit_time	B. lon 70	
A76	172	Whole_gut_transit_time	B. lon 70	
A77	163	Whole_gut_transit_time	B. lon 70	
A78	181	Whole_gut_transit_time	B. lon 70	
A91	168	Whole_gut_transit_time	B. lon 8	
A92	161	Whole_gut_transit_time	B. lon 8	
A93	153	Whole_gut_transit_time	B. lon 8	
A94	143	Whole_gut_transit_time	B. lon 8	
A95	166	Whole_gut_transit_time	B. lon 8	
A96	159	Whole_gut_transit_time	B. lon 8	
A79	251	Whole_gut_transit_time	B. lon 39	
A80	267	Whole_gut_transit_time	B. lon 39	
A81	266	Whole_gut_transit_time	B. lon 39	
A82	271	Whole_gut_transit_time	B. lon 39	
A83	281	Whole_gut_transit_time	B. lon 39	
A84	266	Whole_gut_transit_time	B. lon 39	
A85	242	Whole_gut_transit_time	B. lon 6	
A86	281	Whole_gut_transit_time	B. lon 6	
A87	266	Whole_gut_transit_time	B. lon 6	1
A88	257	Whole_gut_transit_time	B. lon 6	
A89	256	Whole_gut_transit_time	B. lon 6	
A90	271	Whole_gut_transit_time	B. lon 6	
A97	48.78	Small_intestine_transit	CTRL	
A98	51.67	Small_intestine_transit	CTRL	
A99	40.91	Small_intestine_transit	CTRL	
A100	48.94	Small_intestine_transit	CTRL	
A101	51.06	Small_intestine_transit	CTRL	
A102	52.17	Small_intestine_transit	CTRL	
A103	36.57	Small_intestine_transit	LOP	
A104	42.14	Small_intestine_transit	LOP	
A105	38.98	Small_intestine_transit	LOP	
A106	47.29	Small_intestine_transit	LOP	
A107	43.17	Small_intestine_transit	LOP	
A108	40.74	Small_intestine_transit	LOP	
A109	68.54	Small_intestine_transit	PHE	
A110	77.65	Small_intestine_transit	PHE	
A111	73.41	Small_intestine_transit	PHE	
A112	66.82	Small_intestine_transit	PHE	
A113	77.56	Small_intestine_transit	PHE	
A114	76.82	Small_intestine_transit	PHE	
A115	79.44	Small_intestine_transit	B. lon 4	
A116	68.18	Small_intestine_transit	B. lon 4	
A117	74.73	Small_intestine_transit	B. lon 4	
A118	78.84	Small_intestine_transit	B. lon 4	
A119	72.41	Small_intestine_transit	B. lon 4	
A120	81.63	Small_intestine_transit	B. lon 4	
A121	83.64	Small_intestine_transit	B. lon 70	
A122	77.14	Small_intestine_transit	B. lon 70	
A123	82.83	Small_intestine_transit	B. lon 70	
A124	86.43	Small_intestine_transit	B. lon 70	
A125	81.16	Small_intestine_transit	B. lon 70	
A126	81.16	Small_intestine_transit	B. lon 70	
A139	79.34	Small_intestine_transit	B. lon 8	
A140	83.29	Small_intestine_transit	B. lon 8	
A141	82.09	Small_intestine_transit	B. lon 8	
A142	88.28	Small_intestine_transit	B. lon 8	
A143	79.42	Small_intestine_transit	B. lon 8	
