,Time,S1,S2,S3,group,mean,sd,group2
A1,0,0.0436455,0.0426438,0.04293,B. lon4,0.0430731,0.000421275,B. lon4
A2,2,0.0704052,0.0632502,0.062964,B. lon4,0.0655398,0.003442341,B. lon4
A3,4,0.0625106,0.0710626,0.1224936,B. lon4,0.0853556,0.026491602,B. lon4
A4,6,0.1787857,0.2312765,0.1326806,B. lon4,0.180914267,0.040279738,B. lon4
A5,8,0.352366,0.269368,0.333593,B. lon4,0.318442333,0.035537061,B. lon4
A6,10,0.471139,0.475262,0.578124,B. lon4,0.508175,0.049490044,B. lon4
A7,12,0.726948,0.632672,0.739657,B. lon4,0.699759,0.047720568,B. lon4
A8,14,0.914239,0.82981,0.805483,B. lon4,0.849844,0.046604633,B. lon4
A9,16,1.071309,0.911207,1.0875602,B. lon4,1.023358733,0.07958029,B. lon4
A10,18,1.095636,1.0371081,1.17425459,B. lon4,1.102332897,0.056189716,B. lon4
A11,20,1.1213585,1.094715,1.10582245,B. lon4,1.10729865,0.010927134,B. lon4
A12,22,1.1569635,1.0668105,1.163403,B. lon4,1.129059,0.044094774,B. lon4
A13,24,1.193454,1.10566215,1.11381885,B. lon4,1.137645,0.039603167,B. lon4
A14,0,0.0134056,0.0122968,0.013267,B. lon70,0.0129898,0.000493281,B. lon70
A15,2,0.0192268,0.0170092,0.016039,B. lon70,0.017425,0.001334212,B. lon70
A16,4,0.0300376,0.0200584,0.0154846,B. lon70,0.0218602,0.00607631,B. lon70
A17,6,0.0907444,0.0768844,0.0730036,B. lon70,0.0802108,0.007615016,B. lon70
A18,8,0.1367594,0.2847844,0.2319778,B. lon70,0.217840533,0.061252194,B. lon70
A19,10,0.293516,0.393516,0.435304,B. lon70,0.374112,0.05948863,B. lon70
A20,12,0.548748,0.486274,0.579642,B. lon70,0.538221333,0.038837301,B. lon70
A21,14,0.70003,0.674888,0.66538,B. lon70,0.680099333,0.014617891,B. lon70
A22,16,0.761014,0.834396,0.855678,B. lon70,0.817029333,0.040550537,B. lon70
A23,18,0.876468,0.934888,0.909732,B. lon70,0.907029333,0.023926309,B. lon70
A24,20,0.951327378,1.096246589,0.831443072,B. lon70,0.959672347,0.108266506,B. lon70
A25,22,0.951327378,0.962465894,1.083144307,B. lon70,0.998979193,0.059687193,B. lon70
A26,24,1.069558315,0.907077773,1.02132823,B. lon70,0.999321439,0.068133231,B. lon70
A27,0,0.057634,0.0549678,0.0523016,B. lon8,0.0549678,0.002176943,B. lon8
A28,2,0.0816298,0.0736312,0.0816298,B. lon8,0.0789636,0.003770576,B. lon8
A29,4,0.0962764,0.1122736,0.0842785,B. lon8,0.0976095,0.01146776,B. lon8
A30,6,0.1749118,0.2055906,0.2182428,B. lon8,0.199581733,0.018192924,B. lon8
A31,8,0.3749118,0.3055906,0.2882428,B. lon8,0.322915067,0.037443128,B. lon8
A32,10,0.512659,0.432673,0.39268,B. lon8,0.446004,0.049880035,B. lon8
A33,12,0.680296325,0.6139746,0.503625575,B. lon8,0.599298833,0.072868247,B. lon8
A34,14,0.780296325,0.7139746,0.703625575,B. lon8,0.732632167,0.033967431,B. lon8
A35,16,1.025318,0.865346,0.78536,B. lon8,0.892008,0.099760069,B. lon8
A36,18,1.06059265,0.9279492,1.10725115,B. lon8,1.031931,0.07595356,B. lon8
A37,20,1.141243,1.079031667,0.950165333,B. lon8,1.056813333,0.079573486,B. lon8
A38,22,1.176792333,1.052369667,0.9466104,B. lon8,1.0585908,0.094074288,B. lon8
A39,24,1.127912,0.9626076,1.0985838,B. lon8,1.063034467,0.072014825,B. lon8
A40,0,0.0107,0.0293,0.0202,B. lon39,0.020066667,0.007594003,B. lon39
A41,2,0.0877,0.0292,0.0183,B. lon39,0.045066667,0.030472975,B. lon39
A42,4,0.115,0.0355,0.0241,B. lon39,0.0582,0.040432413,B. lon39
A43,6,0.1423,0.0418,0.0299,B. lon39,0.071333333,0.050415628,B. lon39
A44,8,0.102,0.193,0.0607,B. lon39,0.118566667,0.055267008,B. lon39
A45,10,0.183,0.192,0.0877,B. lon39,0.154233333,0.047189429,B. lon39
A46,12,0.241,0.255,0.115,B. lon39,0.203666667,0.062956775,B. lon39
A47,14,0.25,0.3,0.138,B. lon39,0.229333333,0.067731496,B. lon39
A48,16,0.241,0.343,0.169,B. lon39,0.251,0.071386273,B. lon39
A49,18,0.222,0.28,0.331,B. lon39,0.277666667,0.044529641,B. lon39
A50,20,0.32,0.2905,0.2725,B. lon39,0.294333333,0.019580319,B. lon39
A51,22,0.238,0.3525,0.318,B. lon39,0.302833333,0.047958894,B. lon39
A52,24,0.283,0.29562,0.3295,B. lon39,0.302706667,0.019633783,B. lon39
A53,0,0.0615,0.0674,0.0256,B. lon6,0.0515,0.01847178,B. lon6
A54,2,0.0688,0.072,0.082,B. lon6,0.074266667,0.005622178,B. lon6
A55,4,0.0925,0.0733,0.0813,B. lon6,0.082366667,0.007874572,B. lon6
A56,6,0.1,0.0908,0.0868,B. lon6,0.092533333,0.005526502,B. lon6
A57,8,0.0908,0.144,0.0999,B. lon6,0.111566667,0.023232783,B. lon6
A58,10,0.112,0.119,0.113,B. lon6,0.114666667,0.003091206,B. lon6
A59,12,0.119,0.136,0.122,B. lon6,0.125666667,0.007408704,B. lon6
A60,14,0.205,0.128,0.151,B. lon6,0.161333333,0.03227314,B. lon6
A61,16,0.196,0.126,0.195,B. lon6,0.172333333,0.032765158,B. lon6
A62,18,0.2973,0.211,0.0877,B. lon6,0.198666667,0.086012105,B. lon6
A63,20,0.216,0.226,0.215,B. lon6,0.219,0.004966555,B. lon6
A64,22,0.192,0.277,0.269,B. lon6,0.246,0.038323187,B. lon6
A65,24,0.247,0.248,0.231,B. lon6,0.242,0.007788881,B. lon6
