	value	index	group
A1	23.26290259	Acetate	B.lon3
A2	20.90503654	Acetate	B.lon3
A3	23.62936393	Acetate	B.lon3
A4	21.04982997	Acetate	B.lon3
A5	19.68910706	Acetate	B.lon3
A6	22.62932367	Acetate	B.lon3
A7	18.59895444	Acetate	B.lon1
A8	14.84695711	Acetate	B.lon1
A9	13.52357636	Acetate	B.lon1
A10	13.67034849	Acetate	B.lon1
A11	10.55404997	Acetate	B.lon1
A12	14.84628463	Acetate	B.lon1
A13	18.60065083	Acetate	B.bre41
A14	16.34096444	Acetate	B.bre41
A15	21.76288469	Acetate	B.bre41
A16	23.4444616	Acetate	B.bre41
A17	19.71793556	Acetate	B.bre41
A18	18.40877604	Acetate	B.bre41
A19	13.98296024	Acetate	B.bre27
A20	14.03289589	Acetate	B.bre27
A21	12.72444703	Acetate	B.bre27
A22	16.11181914	Acetate	B.bre27
A23	12.2641801	Acetate	B.bre27
A24	19.21519366	Acetate	B.bre27
A25	14.79128526	Acetate	P.pen35
A26	19.74116444	Acetate	P.pen35
A27	13.31297067	Acetate	P.pen35
A28	12.8193841	Acetate	P.pen35
A29	14.39935332	Acetate	P.pen35
A30	13.8963893	Acetate	P.pen35
A31	13.95125431	Acetate	P.pen16
A32	12.69066786	Acetate	P.pen16
A33	14.93773628	Acetate	P.pen16
A34	16.67536704	Acetate	P.pen16
A35	14.52748614	Acetate	P.pen16
A36	14.81596787	Acetate	P.pen16
A37	25.56572973	Acetate	B.nor19
A38	23.73053941	Acetate	B.nor19
A39	32.63611491	Acetate	B.nor19
A40	29.95094822	Acetate	B.nor19
A41	24.80096806	Acetate	B.nor19
A42	23.55961482	Acetate	B.nor19
A43	14.06030127	Acetate	B.nor12
A44	15.20269817	Acetate	B.nor12
A45	20.33913476	Acetate	B.nor12
A46	13.43957513	Acetate	B.nor12
A47	18.27014667	Acetate	B.nor12
A48	16.9747182	Acetate	B.nor12
A97	4.45824557	Propionate	B.lon3
A98	4.205830806	Propionate	B.lon3
A99	4.80808344	Propionate	B.lon3
A100	4.469750653	Propionate	B.lon3
A101	5.68249619	Propionate	B.lon3
A102	5.092184132	Propionate	B.lon3
A103	4.416786804	Propionate	B.lon1
A104	3.99048929	Propionate	B.lon1
A105	3.68756991	Propionate	B.lon1
A106	5.174034893	Propionate	B.lon1
A107	4.458243225	Propionate	B.lon1
A108	3.236311551	Propionate	B.lon1
A109	4.823543157	Propionate	B.bre41
A110	5.348656013	Propionate	B.bre41
A111	4.113038646	Propionate	B.bre41
A112	5.4989754	Propionate	B.bre41
A113	4.050986315	Propionate	B.bre41
A114	5.541210166	Propionate	B.bre41
A115	4.987642616	Propionate	B.bre27
A116	3.244472438	Propionate	B.bre27
A117	3.965793686	Propionate	B.bre27
A118	5.624038366	Propionate	B.bre27
A119	4.642990669	Propionate	B.bre27
A120	4.386598457	Propionate	B.bre27
A121	6.361266745	Propionate	P.pen35
A122	7.413797829	Propionate	P.pen35
A123	6.807777933	Propionate	P.pen35
A124	8.079631103	Propionate	P.pen35
A125	5.884691723	Propionate	P.pen35
A126	8.588875298	Propionate	P.pen35
A127	4.102182403	Propionate	P.pen16
A128	4.740106648	Propionate	P.pen16
A129	3.20368167	Propionate	P.pen16
A130	3.490390692	Propionate	P.pen16
A131	6.204242986	Propionate	P.pen16
A132	3.607345877	Propionate	P.pen16
A133	5.576096481	Propionate	B.nor19
A134	3.258917235	Propionate	B.nor19
A135	4.710591478	Propionate	B.nor19
A136	4.958889934	Propionate	B.nor19
A137	4.1383076	Propionate	B.nor19
A138	5.762320323	Propionate	B.nor19
A139	4.210258585	Propionate	B.nor12
A140	3.779045095	Propionate	B.nor12
A141	4.701853718	Propionate	B.nor12
A142	4.860278407	Propionate	B.nor12
A143	5.593407964	Propionate	B.nor12
A144	3.152575725	Propionate	B.nor12
A49	3.837688898	Butyrate	B.lon3
A50	3.494410169	Butyrate	B.lon3
A51	2.589369303	Butyrate	B.lon3
A52	4.314191302	Butyrate	B.lon3
A53	4.055921801	Butyrate	B.lon3
A54	3.413945795	Butyrate	B.lon3
A55	3.181207308	Butyrate	B.lon1
A56	4.047729694	Butyrate	B.lon1
A57	4.160435484	Butyrate	B.lon1
A58	3.345311567	Butyrate	B.lon1
A59	3.073353634	Butyrate	B.lon1
A60	3.593628348	Butyrate	B.lon1
A61	2.943871107	Butyrate	B.bre41
A62	3.309960302	Butyrate	B.bre41
A63	4.988380838	Butyrate	B.bre41
A64	3.613186155	Butyrate	B.bre41
A65	3.42054598	Butyrate	B.bre41
A66	4.191815066	Butyrate	B.bre41
A67	4.33799469	Butyrate	B.bre27
A68	3.993231178	Butyrate	B.bre27
A69	2.926494848	Butyrate	B.bre27
A70	3.673129988	Butyrate	B.bre27
A71	3.472947939	Butyrate	B.bre27
A72	3.26737976	Butyrate	B.bre27
A73	6.89949843	Butyrate	P.pen35
A74	6.243151958	Butyrate	P.pen35
A75	5.918126566	Butyrate	P.pen35
