	Delta_Cluster_abundance	BSFS	Delta_CCCS	Delta_Frequency	HMDAS	group
A1	0.000390331	1	-4	0	-6	6M4
A2	-0.002315102	0	-3	0	-2	6M4
A3	-0.002549397	0	-2	0	-3	6M4
A4	0.002512158	0	2	1	-6	6M4
A5	-0.000204676	2	-2	0	1	6M4
A6	0.002988813	-1	-4	1	-1	6M4
A7	0.003553591	1	-5	2	3	6M4
A8	-0.001555682	3	-3	2	-1	6M4
A9	-0.001098283	0	-7	1	-8	6M4
A10	0.00066506	1	-7	3	-7	6M4
A11	0.000350175	1	-5	1	0	6M4
A12	-0.000764837	-1	0	0	5	6M4
A13	-0.000066403	2	10	-1	5	6M4
A14	0.000360471	-2	-3	0	-6	8M1
A15	0.003624255	3	7	2	0	8M1
A16	0.00166312	2	-9	1	-5	8M1
A17	0.00218543	0	-1	1	-3	8M1
A18	0.000198391	-2	3	1	1	8M1
A19	0.005020426	-2	6	1	4	8M1
A20	0.00082502	0	-2	1	3	8M1
A21	0.000430643	-1	-3	1	0	8M1
A22	0.00619224	0	0	0	-6	8M1
A23	0.007642513	0	-11	2	-7	8M1
A24	0.007477046	-2	-8	3	0	8M1
A25	1.52E-05	3	-3	1	-2	8M1
A26	1.09E-05	-3	-4	-2	5	L6
A27	0.000635715	2	-6	1	-3	L6
A28	0.000087026	2	2	-1	1	L6
A29	0.003114692	-1	0	1	-5	L6
A30	0.001363121	3	-15	3	-10	L6
A31	0.001619022	2	1	0	1	L6
A32	0.000872049	-2	-5	0	-3	L6
A33	0.000708654	0	4	1	3	L6
A34	0.006676502	1	-8	2	-3	L6
A35	0.004834231	0	-6	2	0	L6
A36	0.001881274	1	2	1	1	L6
A37	0.009174403	0	-11	3	-5	L6
A38	0.00762693	1	-12	3	-8	L6
A39	0.004049008	1	-8	2	2	L6
A40	0.004002292	2	-6	1	-8	L6
A41	0.000750754	2	-2	2	-3	L6
