	index	value	group
A1	A	0.001325	Health
A10	A	0.001684	Health
A11	A	0.001804	Health
A12	A	0.001805	Health
A13	A	0.001893	Health
A14	A	0.002027	Health
A15	A	0.002218	Health
A16	A	0.002335	Health
A17	A	0.002354	Health
A18	A	0.002445	Health
A19	A	0.002476	Health
A2	A	0.001337	Health
A20	A	0.002488	Health
A21	A	0.002561	Health
A22	A	0.002587	Health
A23	A	0.002632	Health
A24	A	0.002783	Health
A25	A	0.002896	Health
A26	A	0.002968	Health
A27	A	0.003207	Health
A28	A	0.003217	Health
A29	A	0.003328	Health
A3	A	0.001371	Health
A30	A	0.003391	Health
A31	A	0.003489	Health
A32	A	0.003734	Health
A33	A	0.003868	Health
A34	A	0.00395	Health
C1	A	0.004608973	Health
C2	A	0.001128642	Health
C3	A	0.002043387	Health
C4	A	0.001905134	Health
C5	A	0.004834351	Health
C6	A	0.000680433	Health
C7	A	0.001984667	Health
C8	A	0.005232084	Health
C9	A	0.001623276	Health
C10	A	0.005841326	Health
A35	A	0.003984	Health
A36	A	0.003991	Health
A37	A	0.004317	Health
A38	A	0.00926	Health
A39	A	0.0048344	Health
A4	A	0.001404	Health
A40	A	0.0052321	Health
A41	A	0.0058413	Health
A42	A	0.000822	Health
A43	A	0.005122	Constipation
A44	A	0.004561	Constipation
A45	A	0.00446	Constipation
A46	A	0.004061	Constipation
A47	A	0.003803	Constipation
A48	A	0.003647	Constipation
A49	A	0.003569	Constipation
A5	A	0.001415	Health
A50	A	0.003442	Constipation
A51	A	0.003211	Constipation
A52	A	0.00319	Constipation
A53	A	0.002801	Constipation
A54	A	0.002782	Constipation
A55	A	0.002282	Constipation
A56	A	0.002223	Constipation
A57	A	0.002158	Constipation
A58	A	0.00195	Constipation
A59	A	0.001835	Constipation
A6	A	0.001582	Health
A60	A	0.001753	Constipation
A61	A	0.001732	Constipation
A62	A	0.00172	Constipation
A63	A	0.001658	Constipation
A64	A	0.001617	Constipation
A65	A	0.001599	Constipation
A66	A	0.001561	Constipation
A67	A	0.001474	Constipation
A68	A	0.001431	Constipation
A69	A	0.001236	Constipation
A7	A	0.001599	Health
A70	A	0.001031	Constipation
A71	A	0.000964	Constipation
A72	A	0.000836	Constipation
A73	A	0.000835	Constipation
A74	A	0.000827	Constipation
A75	A	0.000505	Constipation
A76	A	0.000478	Constipation
A77	A	0.000442	Constipation
A78	A	0.000353	Constipation
A79	A	0.00031	Constipation
A8	A	0.001658	Health
A80	A	0.00143	Constipation
A81	A	0.001112	Constipation
A82	A	0.00127	Constipation
A83	A	0.001865	Constipation
A84	A	0.001761	Constipation
A85	A	0.001995	Constipation
A86	A	0.002561	Constipation
A87	A	0.001174	Constipation
A88	A	0.001481	Constipation
A89	A	0.002136	Constipation
A9	A	0.00168	Health
A90	A	0.001931	Constipation
A91	A	0.000984	Constipation
A92	A	0.000856	Constipation
A93	A	0.000859	Constipation
A94	A	0.00077	Constipation
A95	A	0.000605	Constipation
B1	B	0.002635	Health
B10	B	0.0020432	Constipation
B2	B	0.00487	Health
B3	B	0.005262	Health
B4	B	0.00328	Health
B5	B	0.004622	Health
B6	B	0.0011383	Constipation
B7	B	0.0007744	Constipation
B8	B	0.002703	Constipation
B9	B	0.0018171	Constipation
D1	E	0.001271873	Health
D10	E	0.001640675	Health
D11	E	0.000642276	Constipation
D12	E	0.001176935	Health
D13	E	0.000669472	Health
D14	E	0.001397941	Health
D15	E	0.001228333	Health
D16	E	0.008156184	Health
D17	E	0.00207006	Constipation
D18	E	0.001261168	Health
D19	E	0.00127609	Constipation
D2	E	0.000875849	Constipation
D20	E	0.000813567	Constipation
D21	E	0.001070369	Constipation
D22	E	0.00104244	Health
D23	E	0.001927314	Health
D24	E	0.001080419	Health
D25	E	0.001625326	Health
D26	E	0.002102675	Constipation
D27	E	0.001306781	Health
D28	E	0.001981428	Constipation
D29	E	0.002035768	Constipation
D3	E	0.001623186	Constipation
D30	E	0.001142397	Constipation
D31	E	0.002198893	Health
D32	E	0.002319845	Health
D33	E	0.00063204	Constipation
D34	E	0.001762825	Constipation
D35	E	0.002695231	Health
D36	E	0.002139821	Health
D37	E	0.00086885	Health
D38	E	0.001198413	Constipation
D39	E	0.000601487	Constipation
D4	E	0.000880665	Health
D40	E	0.001683896	Constipation
D41	E	0.003178617	Constipation
D42	E	0.003046415	Constipation
D43	E	0.001167674	Constipation
D44	E	0.002956699	Health
D45	E	0.00130771	Constipation
D46	E	0.00337187	Constipation
D47	E	0.001307222	Constipation
D48	E	0.00159568	Constipation
D49	E	0.001485412	Health
D5	E	0.00125826	Health
D51	E	0.003125305	Constipation
D52	E	0.000809632	Constipation
D53	E	0.00210692	Constipation
D54	E	0.003120136	Health
D55	E	0.001064749	Health
D56	E	0.001369222	Health
D57	E	0.002708115	Constipation
D58	E	0.001379478	Constipation
D6	E	0.000280103	Constipation
D7	E	0.000621641	Constipation
D8	E	0.003821905	Constipation
D9	E	0.002653013	Constipation
E1	E	0.001782458	Health
E10	E	0.001149286	Constipation
E100	E	0.001582789	Health
E101	E	0.001520112	Health
E102	E	0.002596546	Health
E103	E	0.001738768	Health
E104	E	0.002296106	Health
E105	E	0.001639171	Health
E106	E	0.002580524	Health
E108	E	0.001490829	Health
E109	E	0.00129945	Health
E11	E	0.000425907	Constipation
E111	E	0.001186189	Health
E112	E	0.001073726	Health
E113	E	0.002535391	Health
E114	E	0.002609826	Health
E115	E	0.002576872	Health
E116	E	0.002537864	Health
E117	E	0.002296939	Health
E118	E	0.001807632	Constipation
E119	E	0.002616332	Constipation
E12	E	0.004520943	Constipation
E120	E	0.001452453	Constipation
E121	E	0.001783647	Constipation
E122	E	0.000914702	Constipation
E123	E	0.001031834	Constipation
E125	E	0.003551755	Constipation
E126	E	0.001745217	Health
E127	E	0.001682519	Health
E128	E	0.001838613	Health
E129	E	0.001561141	Health
E13	E	0.000987608	Health
E132	E	0.001390763	Health
E133	E	0.001245511	Health
E134	E	0.001453366	Health
E135	E	0.002542477	Health
E136	E	0.002486048	Health
E137	E	0.001216912	Constipation
E138	E	0.000556391	Constipation
E139	E	0.000601416	Constipation
E14	E	0.001433338	Health
E140	E	0.002563152	Constipation
E141	E	0.000429873	Constipation
E142	E	0.001098365	Constipation
E143	E	0.00171241	Constipation
E144	E	0.001821678	Constipation
E145	E	0.000695392	Constipation
E146	E	0.000819425	Constipation
E147	E	0.001439006	Constipation
E148	E	0.001821064	Constipation
E149	E	0.001308752	Constipation
E15	E	0.00189363	Health
E150	E	0.001338976	Health
E151	E	0.00174558	Health
E152	E	0.001811379	Health
E153	E	0.002703796	Health
E154	E	0.001524781	Health
E155	E	0.001115411	Health
E156	E	0.001819538	Health
E157	E	0.004045115	Health
E158	E	0.002010723	Health
E159	E	0.002197914	Health
E16	E	0.001347178	Health
E160	E	0.001240912	Health
E161	E	0.000808885	Health
E162	E	0.00102307	Health
E163	E	0.000664559	Health
E164	E	0.001108376	Health
E165	E	0.000711753	Health
E166	E	0.000804057	Health
E167	E	0.000869689	Health
E168	E	0.001315801	Constipation
E169	E	0.001597537	Constipation
E17	E	0.002659762	Health
E170	E	0.001326604	Constipation
E171	E	0.001171787	Constipation
E172	E	0.002527671	Constipation
E173	E	0.002310055	Constipation
E174	E	0.003476011	Constipation
E175	E	0.001161848	Constipation
E176	E	0.000927096	Constipation
E177	E	0.001119472	Constipation
E178	E	0.001150231	Constipation
E179	E	0.000513755	Constipation
E18	E	0.000305476	Constipation
E180	E	0.000242519	Constipation
E181	E	0.000601757	Constipation
E182	E	0.000272219	Constipation
E183	E	0.000726513	Constipation
E184	E	0.001201368	Constipation
E185	E	0.004178893	Constipation
E186	E	0.003710288	Constipation
E187	E	0.002178602	Constipation
E188	E	0.002413253	Constipation
E189	E	0.001708583	Constipation
E19	E	0.000639479	Constipation
E190	E	0.001349445	Constipation
E192	E	0.000331707	Constipation
E193	E	0.001439284	Constipation
E194	E	0.000554112	Constipation
E195	E	0.001017955	Constipation
E196	E	0.000485639	Constipation
E197	E	0.000861666	Constipation
E198	E	0.003234563	Health
E199	E	0.007411498	Health
E2	E	0.00148071	Health
E20	E	0.000772665	Constipation
E200	E	0.009533785	Health
E201	E	0.004638496	Health
E202	E	0.00160759	Constipation
E203	E	0.003173934	Constipation
E204	E	0.00208564	Constipation
E205	E	0.003780196	Constipation
E206	E	0.003501103	Constipation
E208	E	0.001887569	Constipation
E209	E	0.002401197	Constipation
E21	E	0.000688035	Constipation
E210	E	0.002739616	Constipation
E211	E	0.002249937	Constipation
E212	E	0.002109955	Constipation
