	value	group	index	value1	value2
B1	0.002635	H	SR	26.35	1.42078062
B10	0.0020432	C	SR	20.432	1.31031088
B2	0.00487	H	SR	48.7	1.687528961
B3	0.005262	H	SR	52.62	1.721150844
B4	0.00328	H	SR	32.8	1.515873844
B5	0.004622	H	SR	46.22	1.664829941
B6	0.0011383	C	SR	11.383	1.056256736
B7	0.0007744	C	SR	7.744	0.888965344
B8	0.002703	C	SR	27.03	1.431846046
B9	0.0018171	C	SR	18.171	1.259378828
D1	0.005122	H	CELL	51.22	1.709439574
D10	0.004561	H	CELL	45.61	1.659060072
D11	0.000642276	C	CELL	6.42276	0.807721694
D12	0.00446	H	CELL	44.6	1.649334859
D13	0.004061	H	CELL	40.61	1.608632989
D14	0.004609826	H	CELL	46.09826	1.663684533
D15	0.003488	H	CELL	34.88	1.542576476
D16	0.008156184	H	CELL	81.56184	1.911487015
D17	0.00207006	C	CELL	20.7006	1.315982934
D18	0.003261168	H	CELL	32.61168	1.513373172
D19	0.00127609	C	CELL	12.7609	1.105881305
D2	0.000875849	C	CELL	8.75849	0.942429238
D20	0.000813567	C	CELL	8.13567	0.910393324
D21	0.001070369	C	CELL	10.70369	1.029533523
D22	0.00204244	H	CELL	20.4244	1.310149307
D23	0.003927314	H	CELL	39.27314	1.594095626
D24	0.002080419	H	CELL	20.80419	1.318150811
D25	0.002625326	H	CELL	26.25326	1.41918324
D26	0.002102675	C	CELL	21.02675	1.322772151
D27	0.003306781	H	CELL	33.06781	1.519405434
D28	0.001981428	C	CELL	19.81428	1.296978296
D29	0.002035768	C	CELL	20.35768	1.308728283
D3	0.001623186	C	CELL	16.23186	1.210368288
D30	0.001142397	C	CELL	11.42397	1.057817054
D31	0.003335	H	CELL	33.35	1.523095838
D32	0.003535391	H	CELL	35.35391	1.548437452
D33	0.00063204	C	CELL	6.3204	0.800744564
D34	0.001762825	C	CELL	17.62825	1.246209201
D35	0.002695231	H	CELL	26.95231	1.430595993
D36	0.004296939	H	CELL	42.96939	1.633159188
D37	0.002880665	H	CELL	28.80665	1.459492756
D38	0.001198413	C	CELL	11.98413	1.078606511
D39	0.000601487	C	CELL	6.01487	0.779226245
D4	0.001880665	H	CELL	18.80665	1.274311442
D40	0.001683896	C	CELL	16.83896	1.226315265
D41	0.003178617	C	CELL	31.78617	1.502238202
D42	0.003046415	C	CELL	30.46415	1.483789065
D43	0.001167674	C	CELL	11.67674	1.06732161
