	value	group	index	value1	value2
A43	0.001271873	C	TS	12.71873	1.104443748
A44	0.001640675	C	TS	16.40675	1.215022561
A45	0.001176935	C	TS	11.76935	1.070752478
A46	0.000669472	C	TS	6.69472	0.825732418
A47	0.002803	C	TS	28.03	1.447623098
A48	0.002647	C	TS	26.47	1.422753941
A49	0.002569	C	TS	25.69	1.409764104
A50	0.002442	C	TS	24.42	1.38774566
A51	0.002211	C	TS	22.11	1.344588743
A52	0.00219	C	TS	21.9	1.340444115
A53	0.002801	C	TS	28.01	1.447313109
A54	0.002782	C	TS	27.82	1.444357126
A55	0.002282	C	TS	22.82	1.35831564
A56	0.002223	C	TS	22.23	1.346939463
A57	0.002158	C	TS	21.58	1.33405144
A58	0.00195	C	TS	19.5	1.290034611
A59	0.001835	C	TS	18.35	1.263636069
A60	0.001753	C	TS	17.53	1.243781916
A61	0.001732	C	TS	17.32	1.238547888
A62	0.00172	C	TS	17.2	1.235528447
A63	0.001658	C	TS	16.58	1.219584526
A64	0.001617	C	TS	16.17	1.20871002
A65	0.001599	C	TS	15.99	1.203848464
A66	0.001561	C	TS	15.61	1.193402903
A67	0.001474	C	TS	14.74	1.168497484
A68	0.001431	C	TS	14.31	1.155639634
A69	0.001236	C	TS	12.36	1.092018471
A70	0.001031	C	TS	10.31	1.013258665
A71	0.000964	C	TS	9.64	0.984077034
A72	0.000836	C	TS	8.36	0.922206277
A73	0.000835	C	TS	8.35	0.921686475
A74	0.000827	C	TS	8.27	0.91750551
A75	0.000505	C	TS	5.05	0.703291378
A76	0.000478	C	TS	4.78	0.679427897
A77	0.000442	C	TS	4.42	0.645422269
A78	0.000353	C	TS	3.53	0.547774705
A79	0.00031	C	TS	3.1	0.491361694
A80	0.00143	C	TS	14.3	1.155336037
A81	0.001112	C	TS	11.12	1.046104787
A82	0.00127	C	TS	12.7	1.103803721
A83	0.001865	C	TS	18.65	1.270678836
A84	0.001761	C	TS	17.61	1.245759356
A85	0.001995	C	TS	19.95	1.2999429
A86	0.002561	C	TS	25.61	1.408409578
A87	0.001174	C	TS	11.74	1.069668097
A88	0.001481	C	TS	14.81	1.170555059
A89	0.002136	C	TS	21.36	1.329601248
A90	0.001931	C	TS	19.31	1.285782274
A91	0.000984	C	TS	9.84	0.992995098
A92	0.000856	C	TS	8.56	0.932473765
A93	0.000859	C	TS	8.59	0.933993164
A94	0.00077	C	TS	7.7	0.886490725
A95	0.000605	C	TS	6.05	0.781755375
C1	0.004608973	H	TS	46.08973	1.663604164
C10	0.005841326	H	TS	58.41326	1.766511445
C2	0.004128642	H	TS	41.28642	1.615807226
C3	0.004043387	H	TS	40.43387	1.60674531
C4	0.002905134	H	TS	29.05134	1.463166169
C5	0.004834351	H	TS	48.34351	1.684338179
C6	0.00680433	H	TS	68.0433	1.832785368
C7	0.003984667	H	TS	39.84667	1.600392033
C8	0.005232084	H	TS	52.32084	1.718674708
C9	0.002623276	H	TS	26.23276	1.418843986
A1	0.003325	HH	TS	33.25	1.52179165
A10	0.002684	HH	TS	26.84	1.428782511
A11	0.002804	HH	TS	28.04	1.447778009
A12	0.002805	HH	TS	28.05	1.447932866
A13	0.002893	HH	TS	28.93	1.461348434
A14	0.004027	HH	TS	40.27	1.60498163
A15	0.003445	HH	TS	34.45	1.537189226
A16	0.003537864	HH	TS	35.37864	1.548741134
A17	0.003542477	HH	TS	35.42477	1.549307039
A18	0.003543605	HH	TS	35.43605	1.549445306
A19	0.003561	HH	TS	35.61	1.551571974
A2	0.003337	HH	TS	33.37	1.523356207
A20	0.003580524	HH	TS	35.80524	1.553946589
A21	0.003659762	HH	TS	36.59762	1.563452843
A22	0.002587	HH	TS	25.87	1.412796429
A23	0.004543605	HH	TS	45.43605	1.657400569
A24	0.004580524	HH	TS	45.80524	1.660915163
A25	0.002896	HH	TS	28.96	1.461798558
A26	0.002968	HH	TS	29.68	1.472463897
A27	0.003207	HH	TS	32.07	1.50609896
A28	0.003217	HH	TS	32.17	1.507451061
A29	0.003328	HH	TS	33.28	1.522183318
A3	0.003371	HH	TS	33.71	1.527758753
A30	0.004491488	HH	TS	44.91488	1.652390244
A31	0.004537864	HH	TS	45.37864	1.656851476
A32	0.004561	HH	TS	45.61	1.659060072
A33	0.004596546	HH	TS	45.96546	1.662431611
A34	0.004597852	HH	TS	45.97852	1.662554988
A35	0.003984	HH	TS	39.84	1.60031933
A36	0.003991	HH	TS	39.91	1.601081728
A37	0.004317	HH	TS	43.17	1.635182049
A38	0.00926	HH	TS	92.6	1.966610987
A39	0.0048344	HH	TS	48.344	1.684342581
A4	0.004404	HH	TS	44.04	1.64384731
A40	0.0052321	HH	TS	52.321	1.718676036
A41	0.0058413	HH	TS	58.413	1.766509511
A42	0.00286885	HH	TS	28.6885	1.457707841
A5	0.002415	HH	TS	24.15	1.382917135
A6	0.002582	HH	TS	25.82	1.411956238
A7	0.002599	HH	TS	25.99	1.41480628
A8	0.002658	HH	TS	26.58	1.424554977
A9	0.003682519	HH	TS	36.82519	1.566144996
