	L6_T0_1	L6_T0_2	L6_T0_3	L6_T0_4	L6_T0_5	L6_T0_6	L6_T0_7	L6_T0_8	L6_T0_9	L6_T0_10	L6_T0_11	L6_T0_12	L6_T0_13	L6_T0_14	L6_T0_15	L6_T0_16	L6_T1_1	L6_T1_2	L6_T1_3	L6_T1_4	L6_T1_5	L6_T1_6	L6_T1_7	L6_T1_8	L6_T1_9	L6_T1_10	L6_T1_11	L6_T1_12	L6_T1_13	L6_T1_14	L6_T1_15	L6_T1_16	8M1_T0_1	8M1_T0_2	8M1_T0_3	8M1_T0_4	8M1_T0_5	8M1_T0_6	8M1_T0_7	8M1_T0_8	8M1_T0_9	8M1_T0_10	8M1_T0_11	8M1_T0_12	8M1_T1_1	8M1_T1_2	8M1_T1_3	8M1_T1_4	8M1_T1_5	8M1_T1_6	8M1_T1_7	8M1_T1_8	8M1_T1_9	8M1_T1_10	8M1_T1_11	8M1_T1_12	6M4_T0_1	6M4_T0_2	6M4_T0_3	6M4_T0_4	6M4_T0_5	6M4_T0_6	6M4_T0_7	6M4_T0_8	6M4_T0_9	6M4_T0_10	6M4_T0_11	6M4_T0_12	6M4_T0_13	6M4_T1_1	6M4_T1_2	6M4_T1_3	6M4_T1_4	6M4_T1_5	6M4_T1_6	6M4_T1_7	6M4_T1_8	6M4_T1_9	6M4_T1_10	6M4_T1_11	6M4_T1_12	6M4_T1_13
Actinobaculum_schaalii	0	0	0	0	0.00121	0	0	0	0	0	0	0	0	0	0	0	0	0.00925	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00041	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00425	0	0	0	0	0	0	0	0	0	0	0	0	0.12956	0	0	0	0	0	0	0	0	0
Actinomyces_cardiffensis	0	0	0.0097	0	0.02654	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0195	0	0	0	0	0	0	0	0	0	0	0	0.0222	0	0	0	0	0	0	0	0.01038	0	0.22072	0	0	0	0	0	0	0	0	0	0	0	0.02199	0.00152	0	0	0	0	0	0	0	0	0	0	0.00473	0	0	0.02584	0	0	0	0	0	0	0	0	0	0	0
Actinomyces_europaeus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01134	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Actinomyces_graevenitzii	0	0	0	0	0	0	0	0	0.06992	0.00703	0.01127	0.0407	0	0	0.10604	0	0	0	0	0	0.04548	0.01522	0	0.00499	0.0614	0.00507	0.01605	0.00134	0.09859	0	0	0	0.01448	0.03271	0	0	0.07004	0	0	0.03043	0.01398	0	0.01306	0	0	0	0	0.00343	0	0.00087	0.02303	0.0439	0	0	0.54005	0	0	0	0	0	0.00599	0	0	0	0.00126	0	0	0	0.02814	0	0	0	0	0.00079	0	0	0	0	0	0	0	0
Actinomyces_johnsonii	0	0	0.03742	0	0	0	0	0	0	0	0	0	0	0	0	0.0045	0	0	0	0	0	0.01006	0	0	0	0.00589	0.00274	0	0.00489	0	0	0	0	0	0	0	0	0	0.01729	0.07729	0	0	0.00322	0	0	0	0	0	0	0	0.20381	0	0	0	0	0	0	0	0	0	0.0063	0	0	0	0	0	0	0.00106	0	0.00889	0	0	0	0	0.00564	0	0	0	0	0	0	0
Actinomyces_massiliensis	0	0	0.02086	0	0.01887	0	0	0	0	0	0.01282	0.02173	0	0	0.03965	0	0	0	0	0	0.07166	0.00426	0	0	0	0	0.01893	0	0.01299	0	0	0	0	0	0	0	0	0	0	0.0706	0	0.00108	0	0	0	0	0	0	0	0	0.06083	0	0	0	0.05118	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00508	0	0	0	0.03482	0	0	0	0	0	0	0
Actinomyces_naeslundii	0	0	0.00352	0	0.00376	0	0	0	0	0	0.00308	0	0	0	0.01049	0	0	0	0	0	0	0.0049	0	0	0.00052	0.00261	0.0047	0	0	0	0	0	0	0.01727	0	0	0	0	0	0.00398	0	0.00807	0	0	0	0	0	0	0	0	0.02806	0	0	0.00812	0.00752	0	0.00343	0	0	0	0.03273	0	0	0	0.00286	0	0	0	0	0	0.01318	0	0	0	0	0	0	0	0	0.00216	0	0
Actinomyces_odontolyticus	0.00243	0	0.03335	0	0.02404	0.01632	0	0	0.0025	0.04868	0.01587	0.00529	0.0057	0	0.04447	0	0	0	0	0.02265	0.01612	0.35165	0.00102	0	0	0.0208	0.04189	0	0.03689	0	0	0.01498	0.00974	0.06157	0	0	0.00108	0	0	0.07335	0.00782	0.03247	0.04084	0	0	0	0	0	0.00969	0.00178	0.04693	0	0	0	0.02198	0	0.01138	0	0.0045	0	0.02815	0	0.00053	0	0	0	0	0.01569	0	0	0.22213	0	0	0.00576	0.0162	0	0	0	0	0	0	0
Actinomyces_oris	0.00324	0	0.11483	0	0.00496	0	0	0	0.04837	0.00206	0.00293	0.01851	0	0	0.01198	0.00121	0	0	0	0.05011	0	0.00534	0	0	0.00343	0.02419	0.0123	0.00106	0.01537	0	0.01254	0	0	0.00929	0	0	0	0.00208	0.00439	0.04357	0	0.00458	0.02801	0	0	0	0.01558	0.0725	0	0.00151	0.15662	0	0	0.00162	0.00827	0	0.00344	0	0.00052	0	0.00096	0.00169	0	0	0	0	0	0	0	0.00803	0.02201	0	0	0	0.00623	0	0.01679	0	0	0	0	0
Actinomyces_sp_ICM47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.53584	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
