ID	type	log2FoldChange	Description	pVal	
A7	K01938	0.125544385	B. lon1	0.985828668	1
A15	K00929	0.094695556	B. lon8	0.346999212	1
A23	K00929	0.035075246	B. lon9	0.801041863	1
A3	K00929	1.160553203	B. lon1	0.01867951	2
A11	K01209	0.533467154	B. lon8	0.03741796	2
A19	K01873	0.103479722	B. lon9	0.613869777	2
A2	K00925	0.541619264	B. lon1	0.022905949	3
A10	K01938	0.569500843	B. lon8	0.015605609	3
A18	K03077	0.114128717	B. lon9	0.578767187	3
A6	K01873	0.068106392	B. lon1	0.510218928	4
A14	K00853	0.256155039	B. lon8	0.316385593	4
A22	K01804	0.056175538	B. lon9	0.762310828	4
A8	K03077	0.173827449	B. lon1	0.309032541	5
A16	K03077	0.121208595	B. lon8	0.927908005	5
A24	K00925	0.043659959	B. lon9	0.840250947	5
A1	K00853	0.542693686	B. lon1	0.040674089	6
A9	K01804	0.415742389	B. lon8	0.015605609	6
A17	K00853	0.096182869	B. lon9	0.242784262	6
A5	K01804	0.54687023	B. lon1	0.006858513	7
A13	K01873	0.216498433	B. lon8	0.03209	7
A21	K01209	0.117520201	B. lon9	0.686631733	7
A4	K01209	0.737888066	B. lon1	0.033795177	8
A12	K00925	0.396423751	B. lon8	0.016931715	8
A20	K01938	0.095233047	B. lon9	0.649847509	8
