	group	bray_dist_genus	gene_cluster	index
s1	6M4_1	0.891803033	0.000390331	genus
s2	6M4_10	0.881159849	-0.002315102	genus
s3	6M4_11	0.920043865	-0.002549397	genus
s4	6M4_12	0.651960435	0.002512158	genus
s5	6M4_13	0.8808528	-0.000204676	genus
s6	6M4_2	0.6965469	0.002988813	genus
s7	6M4_3	0.757765939	0.003553591	genus
s8	6M4_4	0.705743538	-0.001555682	genus
s9	6M4_5	0.684363058	-0.001098283	genus
s10	6M4_6	0.517965676	0.00066506	genus
s11	6M4_7	0.8307239	0.000350175	genus
s12	6M4_8	0.253835875	-0.000764837	genus
s13	6M4_9	0.510581973	-0.000066403	genus
s14	8M1_1	0.790622803	0.000360471	genus
s15	8M1_10	0.775873163	0.003624255	genus
s16	8M1_11	0.74788641	0.00166312	genus
s17	8M1_12	0.735177774	0.00218543	genus
s18	8M1_2	0.66105478	0.000198391	genus
s19	8M1_3	0.763130684	0.005020426	genus
s20	8M1_4	0.873556406	0.00082502	genus
s21	8M1_5	0.5043047	0.000430643	genus
s22	8M1_6	0.448338188	0.00619224	genus
s23	8M1_7	0.870064431	0.007642513	genus
s24	8M1_8	0.5819042	0.007477046	genus
s25	8M1_9	0.750034675	1.52E-05	genus
s26	L6_1	0.88157128	1.09E-05	genus
s27	L6_10	0.589349658	0.000635715	genus
s28	L6_11	0.687746532	0.000087026	genus
s29	L6_12	0.584562863	0.003114692	genus
s30	L6_13	0.694550327	0.001363121	genus
s31	L6_14	0.740454565	0.001619022	genus
s32	L6_15	0.684509568	0.000872049	genus
s33	L6_16	0.666211967	0.000708654	genus
s34	L6_2	0.940112617	0.006676502	genus
s35	L6_3	0.70604549	0.004834231	genus
s36	L6_4	0.854983835	0.001881274	genus
s39	L6_7	0.800751751	0.004049008	genus
s40	L6_8	0.638298436	0.004002292	genus
s41	L6_9	0.725435511	0.000750754	genus
s42	6M4_1	0.935951927	0.000390331	strain
s43	6M4_10	0.940066887	-0.002315102	strain
s44	6M4_11	0.959487014	-0.002549397	strain
s45	6M4_12	0.799419189	0.002512158	strain
s46	6M4_13	0.92039648	-0.000204676	strain
s47	6M4_2	0.834597965	0.002988813	strain
s48	6M4_3	0.793903194	0.003553591	strain
s49	6M4_4	0.719022696	-0.001555682	strain
s50	6M4_5	0.796968991	-0.001098283	strain
s51	6M4_6	0.611081689	0.00066506	strain
s52	6M4_7	0.949230072	0.000350175	strain
s53	6M4_8	0.306450056	-0.000764837	strain
s54	6M4_9	0.527328178	-0.000066403	strain
s55	8M1_1	0.843969256	0.000360471	strain
s56	8M1_10	0.803015016	0.003624255	strain
s57	8M1_11	0.944398334	0.00166312	strain
s58	8M1_12	0.791317013	0.00218543	strain
s59	8M1_2	0.770342089	0.000198391	strain
s60	8M1_3	0.87115108	0.005020426	strain
s61	8M1_4	0.892268976	0.00082502	strain
s62	8M1_5	0.812897594	0.000430643	strain
s63	8M1_6	0.812910583	0.00619224	strain
s64	8M1_7	0.931453994	0.007642513	strain
s65	8M1_8	0.75208772	0.007477046	strain
s66	8M1_9	0.847055212	1.52E-05	strain
s67	L6_1	0.787298808	1.09E-05	strain
s68	L6_10	0.857448759	0.000635715	strain
s69	L6_11	0.802915435	0.000087026	strain
s70	L6_12	0.925466476	0.003114692	strain
s71	L6_13	0.939540137	0.001363121	strain
s72	L6_14	0.785827144	0.001619022	strain
s73	L6_15	0.901043011	0.000872049	strain
s74	L6_16	0.908406295	0.000708654	strain
s75	L6_2	0.974860801	0.006676502	strain
s76	L6_3	0.638141254	0.004834231	strain
s77	L6_4	0.997862473	0.001881274	strain
s78	L6_5	0.771946927	0.009174403	strain
s79	L6_6	0.867902445	0.00762693	strain
s80	L6_7	0.854743217	0.004049008	strain
s81	L6_8	0.906243397	0.004002292	strain
s82	L6_9	0.520198271	0.000750754	strain
s83	6M4_T1_12	0.718091461	0.000390331	MAG
s84	6M4_T1_13	0.834221736	-0.002315102	MAG
s85	L6_T1_9	0.396184868	-0.002549397	MAG
s86	8M1_T1_T3	0.87353674	0.002512158	MAG
s87	6M4_T1_6	0.521429381	-0.000204676	MAG
s88	6M4_T1_4	0.763123449	0.002988813	MAG
s89	6M4_T1_7	0.784261388	0.003553591	MAG
s90	L6_T1_3	0.712449956	-0.001555682	MAG
s91	6M4_T1_3	0.71186651	-0.001098283	MAG
s92	6M4_T1_1	0.899362682	0.00066506	MAG
s93	6M4_T1_2	0.86286355	0.000350175	MAG
s94	6M4_T1_8	0.223613277	-0.000764837	MAG
s95	6M4_T1_9	0.568555245	-0.000066403	MAG
s96	8M1_T1_T8	0.699157525	0.000360471	MAG
s97	8M1_T1_T1	0.840559556	0.003624255	MAG
s98	8M1_T1_T10	0.794557566	0.00166312	MAG
