	group1	time	group	value	index	value2	value3
A1	6M4_T0	T0	6M4	3808073.143	Uracil	6.580705281	0.771400104
A2	6M4_T0	T0	6M4	6021761.889	Uracil	6.779723579	0.831211987
A3	6M4_T0	T0	6M4	1798434.556	Uracil	6.254894639	0.76671955
A4	6M4_T0	T0	6M4	4043982.334	Uracil	6.60680925	0.881202526
A5	6M4_T0	T0	6M4	1889917.486	Uracil	6.276442843	0.861919122
A6	6M4_T0	T0	6M4	2659610.398	Uracil	6.424818022	0.807860831
A7	6M4_T0	T0	6M4	2492284.412	Uracil	6.396597601	0.774553701
A8	6M4_T0	T0	6M4	3495350.389	Uracil	6.543490718	0.87757236
A9	6M4_T0	T0	6M4	2925956.303	Uracil	6.466267836	0.873103565
A10	6M4_T0	T0	6M4	2550820.251	Uracil	6.406679856	0.76904749
A11	6M4_T1	T1	6M4	1485574.947	Uracil	6.171894567	0.713649663
A12	6M4_T1	T1	6M4	986283.3783	Uracil	5.994001714	0.77052647
A13	6M4_T1	T1	6M4	3614933.954	Uracil	6.558100367	0.816778059
A14	6M4_T1	T1	6M4	4901919.996	Uracil	6.690366219	0.825449891
A15	6M4_T1	T1	6M4	1117175.704	Uracil	6.048121482	0.781620506
A16	6M4_T1	T1	6M4	7076163.581	Uracil	6.849797864	0.835677756
A17	6M4_T1	T1	6M4	1720274.646	Uracil	6.235597789	0.794878094
A18	6M4_T1	T1	6M4	2053248.829	Uracil	6.312441584	0.86406241
A19	6M4_T1	T1	6M4	3594232.9	Uracil	6.555606215	0.816612858
A20	6M4_T1	T1	6M4	3451001.318	Uracil	6.537945125	0.815441271
A21	8M1_T0	T0	8M1	1714449.239	Uracil	6.234124631	0.743129758
A22	8M1_T0	T0	8M1	2371194.338	Uracil	6.374967149	0.78796313
A23	8M1_T0	T0	8M1	6639360.365	Uracil	6.822126242	0.833919752
A24	8M1_T0	T0	8M1	4869562.59	Uracil	6.687489952	0.790446899
A25	8M1_T0	T0	8M1	3753280.72	Uracil	6.574411048	0.817856854
A26	8M1_T0	T0	8M1	1437493.864	Uracil	6.157606	0.789411897
A27	8M1_T0	T0	8M1	3170261.003	Uracil	6.501095019	0.783065807
A28	8M1_T0	T0	8M1	1810219.241	Uracil	6.257731177	0.796416903
A29	8M1_T0	T0	8M1	2137759.125	Uracil	6.329958769	0.801400881
A30	8M1_T0	T0	8M1	1411266.623	Uracil	6.14960907	0.788847509
A31	8M1_T1	T1	8M1	4643276.929	Uracil	6.666824586	0.73417094
A32	8M1_T1	T1	8M1	2368895.363	Uracil	6.374545878	0.804449251
A33	8M1_T1	T1	8M1	5593817.676	Uracil	6.747708307	0.8291563
A34	8M1_T1	T1	8M1	7499652.04	Uracil	6.875041114	0.853109178
A35	8M1_T1	T1	8M1	3159925.934	Uracil	6.499676903	0.812891769
A36	8M1_T1	T1	8M1	4863100.504	Uracil	6.686913245	0.797283907
A37	8M1_T1	T1	8M1	3972042.681	Uracil	6.599013906	0.819479044
A38	8M1_T1	T1	8M1	7241755.54	Uracil	6.85984386	0.85259865
A39	8M1_T1	T1	8M1	10433928.92	Uracil	7.018447874	0.846241079
A40	8M1_T1	T1	8M1	8739919.21	Uracil	6.941507418	0.864321603
A41	L6_T0	T0	L6	1816276.962	Uracil	6.259182074	0.860887689
A42	L6_T0	T0	L6	1195248.081	Uracil	6.077458055	0.849877304
A43	L6_T0	T0	L6	1553918.155	Uracil	6.191428141	0.856815145
A44	L6_T0	T0	L6	1171596.278	Uracil	6.068777983	0.849344342
A45	L6_T0	T0	L6	949878.3022	Uracil	5.977667967	0.8437103
A46	L6_T0	T0	L6	981171.0842	Uracil	5.991744741	0.844585564
A47	L6_T0	T0	L6	2360573.731	Uracil	6.37301757	0.867645269
A48	L6_T0	T0	L6	722283.0204	Uracil	5.858707405	0.836242276
A49	L6_T0	T0	L6	1524672.835	Uracil	6.183176663	0.856316548
A50	L6_T0	T0	L6	6745895.381	Uracil	6.829039602	0.89370849
A51	L6_T0	T0	L6	5798595.6	Uracil	6.763322822	0.91515032
A52	L6_T0	T0	L6	1229723.919	Uracil	6.08980762	0.850634451
A53	L6_T0	T0	L6	8447239.78	Uracil	6.926714822	0.904120298
A54	L6_T0	T0	L6	2810811.063	Uracil	6.448831654	0.872088159
