Taxonomy	A1	A2	A3	A4	A5	A6	A7	A8	A9	A10	A11	A12
M1	67293407.18	24640129.37	98123617.37	186900923.1	81609850.84	148747538.3	94133746.5	48753026.11	71056985.99	68449951.1	44620195.1	77851489.63
M2	5843318.065	149508.162	8110422.607	4680817.835	6748842.571	6437851.152	11233539.39	7885891.767	4425108.897	11778080.74	6364921.357	5850435.981
M3	114108460.8	3185050.432	186281310.3	298245682.9	206287617	316160862.9	179195410.2	145538562.9	128937813	162446774.1	82819455.41	200499736.4
M4	2240773.995	131268.7922	4760395.741	5969265.751	4764541.202	6216304.933	3940481.485	2924471.158	3217187.294	3663673.172	1062521.016	3057444.124
M5	10399214.9	704212.585	7809073.467	3610624.737	11163481.9	24889594.83	7074921.542	20006129.79	2722115.846	18707883.82	1571405.992	7113256.636
M6	14494007.8	72273.67029	46627845.26	12140440.22	13332041.79	16999228.05	49065115.62	21382241.82	15731555.16	21794518.54	6301390.355	12026330.38
M7	21893381.28	60224208.37	92073525.8	6797344.77	41614663.64	54251224.47	112418723.5	56869885.59	30136777.64	53215764.76	17989073.21	28437372.18
M8	17607715.21	9465290.785	23266014.14	4547169.473	24297922.55	33456441.41	2939705.382	21221298.28	19377946.22	2153799.085	1986938.461	20112936.57
M9	1380685.918	863896.914	13302229.98	2255144.478	6425311.601	4192439.288	37952954.61	2883286.618	5304152.979	15104457.37	4593570.198	2025023.8
M10	4891973.212	9853936.324	4705908.128	9018813.267	10905870.39	6721688.091	10718672.89	5876606.936	861927.6488	9359946.818	6157305.456	5267658.09
M11	501787845.7	221039548.2	499282216.2	823812929.4	685663457.2	983111558.5	499225190.3	474037918.7	399493042.5	606946504.3	344383868.2	394020621.6
M12	61315300.55	11502228.99	44074199.62	641643.4738	1188625.3	872725.1651	33959416.75	45826972.4	546788.1528	20158934.65	28498862.93	47477209.26
M13	138161401.8	86199.63849	38182043.51	101063.0573	126686.6928	104715.1209	65093365.97	187203900.1	55816492.95	72461060.78	5962644.019	93918229.22
M14	96004.50876	41461.76896	152209.4941	6823496.682	6204693.159	6763184.625	292303.4184	131105.0837	78945.84504	217814.0824	65575.31361	124959.8598
M15	14498424.2	20270164.84	27107691.78	9348166.154	31904476.23	16414333.43	66636110.94	36600747.04	69618773.08	50952288.97	8899166.762	85473086.72
M16	1993059.874	3227380.51	11470777.89	1919712.308	8984575.972	6005500.816	8108754.728	1875319.66	1911875.841	26628907.86	4225160.624	1094092.919
M17	58552.63948	33819.67098	183183.044	522962.7812	1520445.685	1182522.02	1104605.738	54964.34156	115152.9095	845117.873	104708.8299	60776.99138
M18	23856783.2	34044467.95	47660255.16	5993363.703	32876675.77	18930358.67	69899895.89	80711372.93	34995347.12	53620342.28	33047367.49	25915977.04
M19	1607650.996	176074.4424	6046245.014	1359097.866	3418744.359	3097625.344	9857202.438	5771532.782	1944770.283	6743500.315	1685583.019	2570782.915
M20	55022.40646	29002.76617	152253.6926	52179.80547	11707157.42	340252.5237	101973.9262	48351.04455	46230.01575	66612.19018	42644.47992	41468.07317
M21	12062229.25	26128826.95	27901962.61	33673774.72	31100035.99	9407698.882	51998058.83	32070059.45	10220473.14	39762801.84	8908343.421	12042698.33
M22	6561351.566	198461800.9	568210098.8	857804349.3	651241388.9	907837881.8	587094535.9	476908037.1	490140714.1	506926061	275743611.1	667584544.5
M23	3552394.304	459911.3059	3210720.246	2658221.782	2807392.755	2163995.939	3126262.191	2274046.577	6556648.142	1184788.523	469748.3051	681515.9537
M24	153095703.1	25202783.97	96497246.56	6216899.048	9161269.352	6570098.362	50725472.24	93721794.03	100834641.8	19984139.8	59336571.6	87824379.24
M25	5105161.764	5341354.679	5479987.473	5316950.297	5593843.163	7259811.318	5296137.862	3586180.61	3168570.664	3564997.236	1472923.816	3060966.487
M26	1707926.279	141908.0841	4188151.264	834437.4925	1185548.795	1755146.776	4769771.032	3960963.567	1534088.506	3883519.507	1149984.064	1953835.311
M27	1010446.523	42896.55094	2541949.252	4077585.466	2622814.944	6556248.463	1510318.96	654458.0437	897362.0392	2617616.738	811333.874	810729.3489
M28	8388927.259	2374254.66	4691145.617	1144533.245	418402.1516	839729.2444	3314610.756	14275648.24	5376579.957	941377.2116	2987310.808	10041590.7
M29	463367.0584	113740.1504	430903.1595	269432.0939	249752.8048	230146.2865	330895.0345	1199404.073	477185.8712	230028.8907	284680.8061	498832.1475
M30	5199975.293	101980.4319	16250908.39	1977446.993	7328882.973	2990632.441	21332264.56	15645896.62	3492283.536	17127129.58	3850088.547	7182741.215
M31	11450591.44	8046626.551	16564591.74	1911109.699	10148944.13	8798858.668	14489369.15	14591526.08	9677272.086	12056456.94	5268528.924	6635796.873
M32	82380080.9	18110413.95	27612090.7	22396234.25	27110679.22	33466947.11	129904207.3	111229417.6	34259674.93	44313645.8	8675997.466	19075867.95
M33	83642409.45	59284353.56	124411416.2	167264904.5	100602606.7	176919869.7	97171642.09	95643133.4	83735957.39	116363504.3	53554557.61	96113085.78
M34	1393914.347	35866.9574	2225920.396	17369529.59	1736286.971	13595680.93	2541473.244	1166909.56	1270448.878	4272419.408	1596525.79	1944162.026
M35	65071025.97	81087308.93	118715443.1	63711360.63	85944706.16	78879810.59	149211995.4	116292197.3	44069200.38	119816929.4	58127199.12	21199854.58
M36	21855524.66	187264.272	73718719.08	17117814.07	58378432.04	58571538.95	73988549.47	68538153.98	27189173.46	75117839.63	46189577.92	31630309.64
M37	5189857.469	60492.86897	2226875.362	523262.0136	224598.104	208020.3306	3925832.349	2235473.715	2290926.233	1483345.902	527558.278	5688358.077
M38	6364326.611	287680.2177	7839036.468	3468868.359	3828915.592	5125116.648	5501937.44	4927827.623	5124777.712	11451381.57	4938112.709	7867898.65
M39	6614844.648	61429.1812	32449732.91	9331758.769	48314388.53	18384004.53	43167516.93	26976006.19	9457502.131	40889694.5	8258795.524	8688956.253
M40	15272049.51	100223.7518	25734806.23	4988881.392	11135472.06	8763769.894	26049698.69	35506072.14	18426205.54	23971597.92	11053967.78	12157535.67
M41	1186785.23	1025779.954	1475184.222	1129952.365	972315.493	1522463.422	1725453.663	1213261.576	957892.9831	1183353.812	1092614.351	2199764.906
M42	5950255.353	6199559.291	6644319.542	5295234.715	5298613.43	5232386.287	5883886.152	6098035.234	5391331.15	6473385.223	5731773.974	5061938.114
M43	5837489.485	60319.81402	29796242.13	6503110.869	19860756.32	17329952.48	31725800.59	21192185.45	13485961.09	33690778.3	16040792.41	9200202.711
M44	6833322.298	199951.0591	784593.7724	247718.5454	249288.8867	261064.4791	2497252.071	8571845.259	1400464.639	5811363.117	902128.4084	6367519.71
M45	3576020.816	66094.3069	4754716.963	550113.0528	3754647.222	1336104.017	12043485.19	9644288.652	5212324.411	13539939.87	1832547.881	3915762.393
M46	5715190.822	114063.125	15204914.73	2011264.732	9472060.183	7488955.124	16548275.89	11986165.68	6216381.882	12913616.56	3639385.219	4112566.444
M47	46835745.41	45427830.53	56029648.6	64308733.54	65373727.48	68770050.25	50414360.37	157280720	49883510.89	188747380.6	187517900.4	177354170.2
M48	189343.8507	4148038.699	533070.6864	882166.6536	3251704.401	1029204.504	4465354.114	172501.5766	702889.1082	3215866.294	1618580.42	513252.4356
M49	244777.1881	1137974.016	222038.3807	195490.8527	219132.4756	194334.311	1252617.954	203659.6537	220030.1882	2043910.124	5192900.73	332941.9247
M50	5309872.479	82363.48577	6906116.4	331741.8997	2800743.145	1039545.655	21941442.36	3084258.752	6160181.69	4565514.002	1986092.678	9138517.393
M51	9122165.521	3124812.847	6807973.576	610835.8969	539157.5155	628598.8396	24708203.61	6262681.028	2470554.619	3200393.032	410966.2807	3787385.694
M52	2630199.032	36132.00249	4947171.156	554471.3158	455355.1536	461398.7959	5449020.023	2375616.208	2636951.145	1614482.785	964787.8354	2169998.114
M53	1855234.397	27631.76693	2195519.173	1103636.405	1476396.278	1150982.986	3207815.149	393161.592	440425.9658	667124.2317	812273.0502	361783.713
M54	603555.5556	265817.6777	693133.42	475854.7602	701866.0525	697138.2276	838846.4243	846656.0013	811222.3662	3827991.287	1478607.787	655768.4165
M55	46482098.68	42800458.2	48329943.42	25432816.63	40171929.7	33466117.02	66217779.54	29612741	35847920.15	26400527.22	24200597.93	20221966.73
M56	17978542.59	3470570.68	1930493.428	296625.0643	270236.2068	306735.5636	12795685.18	8452080.388	5316549.279	2584271.01	7236675.604	9485660.477
M57	74586822.11	76825048.18	39613489.21	150747691	125371190.5	195265928.2	168902914	123829133.3	84102518.98	143693343.2	64688467.49	34988903.66
M58	721108.2402	45210.95686	9860376.71	393788.2486	1754301.317	1039497.693	7513722.943	2065822.614	622289.3014	7477372.714	3234385.687	5857301.03
M59	10721708.39	30618.80012	11382831.62	3116509.08	10447196.68	6342195.724	28263712.49	14306556.68	7855583.136	13213037.19	7093243.2	5527780.534
M60	22915419.24	2604194.263	4373609.531	20205684.45	450716.1992	29947562.47	14134243.07	14921706.87	6652006.42	5542300.424	7621869.613	17790657.89
M61	5502997.345	221327.2109	3247961.434	174899.5193	90096.75229	291134.5121	1710310.199	2860130.437	3242709.212	182325.1444	1888564.176	2401665.183
M62	7359858.725	11660946.34	14762472.83	8352385.318	15412077.9	9035548.725	12868634.28	5531977.198	21517113.6	11403308.27	5637250.151	6826893.371
M63	69912977	14379389.53	78226883.76	123620302.3	53778151.52	127017348.6	57552516.42	37030252	68857167.65	90328598.92	34379465.3	57442562.86
M64	35651440.71	10679496.71	27501941.32	4811146.887	2507491.876	5036858.595	22177546.1	29041340.33	21388174.35	7063299.928	11546199.59	14803838.37
M65	3072943.976	2459183.119	6003013.767	1735478.107	3680335.725	4699591.443	9697874.063	6176190.768	1995592.014	8086054.478	2690514.418	5831702.422
M66	92559.35479	39108.80639	86194.55588	66767.88239	67221.38426	67772.68988	108864.1857	100806.4185	75850.38248	84248.08918	61822.60693	87071.34007
M67	4235441.529	48196701.95	40359202.02	53983880.48	70466624.35	51239934.18	69026199.64	4777916.429	22780352.47	53770298.98	35598222.17	4640914.4
M68	3611413.654	58773.56713	10832164.66	13322171	16962186.27	12945829.13	30055952.94	2510037.445	5843691.912	25098238.75	11405034.81	2937412.281
M69	3408769.937	19287.93197	9422158.95	4317915.634	5285999.022	3339400.909	26370987.82	2087432.385	7441239.886	14066073.21	7042750.562	2039339.641
M70	120101.5673	71235.64002	1366875.086	623971.0947	4400482.281	2296253.441	2657968.038	369605.8954	382152.0774	1099197.624	795161.055	311294.717
M71	1124341.934	50586.87028	1131455.008	137837.325	136885.2647	138000.111	1677922.218	618231.7592	1046766.968	1006912.638	623337.4918	537775.8208
M72	9811608.399	5567529.592	4714209.31	371171.06	338987.9011	348877.8946	4620092.845	7530191.609	2300006.658	3734401.937	1468704.122	2463691.649
M73	273397.4299	21036.54814	9620951.026	51476.08872	1459012.288	442400.4676	10016136.38	1393066.879	4931604.881	4147233.442	496621.4102	1594233.303
M74	10889148.79	806995.0706	46959135.51	4367092.306	5113444.913	4647810.409	68122668.47	17882710.38	65238571.55	50155913.06	5806635.978	17699920.97
M75	114555116.5	396899896.3	606573341.5	113244876.1	111137118.2	164992627.4	710840973.4	88175765.08	313902769	561189784.4	153183890.1	68032053.17
M76	55022450.37	57809086.57	39396282.84	22452675.41	78023148.07	64198052.78	156654176	34509247.56	71005618.74	136091718.6	104770782.3	30977232.4
M77	489965.6822	47769.67877	1352284.243	477218.8424	3543165.14	1058188.44	4062515.868	585396.4051	610469.0807	1188509.438	285521.4771	184192.9726
M78	2390900.855	55491.42652	9182057.161	1853492.032	4215862.048	4294949.059	10465918.85	9182612.486	4209506.338	8759326.596	3810726.453	3337427.957
M79	32588363.05	3190246.962	42063851.88	2827021.551	4380660.404	2591637.36	49068208.47	69997150.76	26681660.1	14772145.84	10442338.36	27542855.12
M80	252290185.9	23515171.6	28380904.53	6812427.013	10306289.93	9992578.428	395976322.8	302599346.1	371149081.5	160658289.4	40751137.79	77524679.57
M81	12151623.86	4376709.785	5412615.883	585178.311	1305163.599	763020.9453	9600988.055	6793973.966	7488776.905	4363385.236	5593399.106	7009184.811
M82	533550.1994	53128.80032	2253891.324	4452163.456	29996727.87	13415842.27	76970280.4	2318360.135	1670760.163	13086923	4499382.302	1533799.283
M83	49145510.26	125940.2887	11247028.99	270873.5484	175849.7874	132850.3339	10530542.85	29223465.48	3948391.891	2708736.928	10616799.43	29267431.01
M84	4732166.842	5066556.328	6277329.349	1118436.531	5320618.507	9880531.293	4910635.927	3785791.839	6394625.938	7042768.734	3821546.002	4319770.386
M85	10843355	63874.79475	2089045.412	187196906.3	99665020.07	130020829.8	8364008.842	7532695.293	5209087.226	8811204.054	4383853.178	6928433.574
M86	5979790.748	1867131.644	1695806.397	281825.6399	274240.9869	259734.0461	3788378.819	13439018.03	6948922.086	7353364.287	1663463.679	5399931.861
M87	29393234.68	11641835.21	34270681.58	308361.407	261013.1583	310831.4509	22023542.76	36841181.27	169077331.8	46595905.13	22443563.83	37546550.38
M88	2818922.963	254232.7764	3278472.856	5867684.807	1018464.532	1550528.857	7002652.535	2822023.127	5205768.281	2005937.309	1432189.768	6935102.194
M89	512559.7167	212257.0606	831949.5016	359435.2483	448499.6368	247545.2648	3126705.647	496168.3104	2980676.839	1571066.673	896301.0858	767097.0542
M90	14401415.82	1023659.06	10485085.08	3736934.08	914795.3492	167780.7463	7664325.215	12111660.72	7796016.489	3092428.625	4175493.294	5042156.134
M91	50825923.77	6933839.661	21216949.41	92903318.38	75316634.29	45590457.06	39054030.1	16541695	8511151.229	26691114.13	54352394	28307092.64
M92	589435.5822	59474.08318	3125966.668	46407.20271	182595.5332	85451.08763	91616373.34	1147654.209	5759902.767	17874663.95	5665189.871	1783913.227
M93	3194338.131	598671.1572	10281285.54	2286550.505	10249834.41	6460456.655	21335615.82	5884180.185	5080491.191	10971493.01	3130799.914	2844509.059
M94	1121258.454	1032054.319	2078305.528	4963025.832	8511699.147	4290829.137	5506587.126	1234019.477	1848358.744	2808866.823	1860292.695	1290638.542
M95	6103492.19	1993520.73	13468552.6	5698116.166	24224015.87	13100067.39	35877821.36	16004484.63	7771802.81	9290234.306	5930860.354	5999872.939
M96	15218656.46	3983000.685	46356425.82	7507892.817	59226880.99	33053410.52	102488488.6	44979499.2	19559106.48	34831499.77	12578150.23	16660396.52
M97	11737023.24	83978717.18	74945279.66	22218346.67	134452540.3	66126292.03	173594194.2	39399460.07	35005498.42	57563360.64	25909881.11	23120828.35
M98	5589070.361	2422794.925	37934387.88	3735248.598	2843604.603	3457148.172	22009816.75	5971105.973	11568576.17	7099510.485	15132967.08	11103502.17
M99	373259.8775	1863539.195	310936.5067	274274.93	271190.4326	264497.9418	378959.6618	1588723.398	63920075	242366.101	1387794.984	4336528.787
M100	1030333.888	98443.96021	11830939.34	7654436.819	54133470.65	23642111.88	26434456.42	747551.6991	5448083.026	13593879.41	6473208.423	2669302.27
M101	10464415.16	8205302.906	9276224.639	8315598.839	11481519.8	6435272.022	8803662.931	8405245.126	7956083.383	10880513.76	8185487.342	9211775.04
M102	56106855.49	229715973.8	179975590.7	231280557.7	557772942.9	343536109.6	471482261.9	43654406.17	99055456.23	171799984.1	96658755.99	62748491.59
M103	36069990.82	20754008.98	77423042.56	31110261.74	95865363.69	45935066.24	87790250.98	37781896.13	45904278.96	113257175.1	40035987.15	40419422.03
M104	19937805.57	1539626.209	15671519.68	3490897.022	9935152.352	7549489.021	25902596.93	30030129.57	17605823.95	18228462.53	11358494.6	21604011.25
M105	430405.1656	264104.3835	2435573.799	363072.5222	1397736.406	394080.2006	3555968.039	1087225.65	1208445.694	2915356.745	541122.9812	928934.8405
M106	13425236.12	48359788.86	37542370.07	12196611.43	51044166.19	34070989.95	50053153.89	15890619.38	16404048.78	41457841.12	13406841.98	34895789.16
M107	7504415.4	95214.67865	1801798.988	75763.24157	133878.3257	67926.11089	2838939.696	15055556.01	2368064.344	368000.674	1525074.826	4521877.202
M108	526892.7878	6892968.995	1461402.884	608907.3657	6295787.254	3306213.839	4841782.681	508905.1573	1200047.34	6411385.271	1831502.074	661068.199
M109	2402057.231	27302.36357	6806192.583	1421158.737	12217691.82	5879741.722	18613145.91	7976689.441	2772408.634	4115031.836	1734984.312	2338845.686
M110	6058091.278	20251377.42	13666873.57	11076358.73	21278798.88	23059551.59	35026321.62	10194533.29	23369112.06	26640099.98	11056934.62	8156723.712
M111	118915.3517	34047.68437	1000952.233	269674.3156	3478406.09	1471876.374	20212861.59	328859.6392	843980.7943	2366863.928	580266.2277	396969.7282
M112	14461395.97	14668498.21	9518255.912	3500260.47	20758319.2	7245982.188	24067147.16	12350765.17	7680767.841	10270473.25	5250926.531	6324431.269
M113	10437254.38	1949487.671	10458266.03	19125252.31	21920828.42	17002705.99	4902145.45	19601745.84	2210380.771	10228009.76	16883199.11	1238766.983
M114	158039448.2	31432363.13	49249038.32	170916906.3	89871174.34	222651673.4	71586776.16	58228431.04	157069781.6	138606431.9	80151140.1	125337630.7
M115	442881.141	426272.8247	426702.1912	446004.6986	438218.6439	421599.8812	437546.7101	729996.4994	433469.452	429453.4259	428346.1954	448543.5862
M116	210074445.1	82375000.55	471688278.5	2275593.663	1360416.651	1880909.518	248543060.7	281650831	203098381.7	129333495.9	59438857.9	417264142.1
M117	102403357.8	6970315.096	689717057	148716130.9	103524699.1	192452119.6	762655268.3	220851551.1	309256142.8	652629857.2	143493314.9	76076935.96
M118	12138660.49	8896707.091	24643743.09	17124698.71	37491365.65	19062231.27	15279194.84	5135018.104	17155011.52	2275657.478	8660822.753	1618604.013
M119	1169088.278	9532502.18	8715791.655	11646443.51	28359626.41	17588976.35	17160776.76	1096794.859	2136411.526	9415866.666	1415330.029	3358405.048
M120	209330282.9	160009709.3	185776683.9	91200782.56	304317499.1	183479436.7	399339712.6	245203924.1	127860484.8	144445916.7	108146668.8	86985649.15
M121	5818807.923	1363926.345	7646078.552	2008721.435	3398764.027	1450248.122	7963209.421	8607171.769	2918235.501	4887663.806	3697115.259	6608431.622
M122	5874530.282	5200953.427	44850037.76	994143.4365	1896125.5	1118840.831	16191293.44	6443251.754	29045231.48	4421107.623	6270688.793	3871987.893
