	value	group
A1	23.55734	B. lon 14
A2	18.04384	B. lon 14
A3	21.31428	B. lon 14
A4	19.97182	B. lon 14
A5	23.62166	B. lon 14
A6	20.69	B. lon 8
A7	19.26	B. lon 8
A8	23.51	B. lon 8
A9	25.74	B. lon 8
A10	23.67	B. lon 8
A11	23.67448	B. lon 56
A12	22.43124	B. lon 56
A13	21.10692	B. lon 56
A14	19.07088	B. lon 56
A15	18.79652	B. lon 56
A16	19.0078	B. lon 1
A17	23.07088	B. lon 1
A18	20.9988	B. lon 1
A19	23.35916	B. lon 1
A20	18.47418	B. lon 1
A21	1.48556	B. lon 28
A22	1.19722	B. lon 28
A23	0.84942	B. lon 28
A24	1.3774	B. lon 28
A25	1.5704	B. lon 28
A26	1.49902	B. lon 58
A27	1.42234	B. lon 58
A28	0.917014	B. lon 58
A29	1.5305	B. lon 58
A30	1.42484	B. lon 58
A31	1.28	B. lon 6
A32	1.22	B. lon 6
A33	1.07	B. lon 6
A34	1.57	B. lon 6
A35	1.16	B. lon 6
A36	1.59344	B. lon 30
A37	1.38984	B. lon 30
A38	1.58104	B. lon 30
A39	0.85486	B. lon 30
A40	1.42476	B. lon 30
