,value,group,dose
a1,7.515072901,Uracil,L
a2,7.105935757,Uracil,L
a3,7.259902987,Uracil,L
a4,7.395908406,Uracil,L
a5,7.172359598,Uracil,L
a6,7.347244776,Uracil,L
a7,7.340312841,Uracil,H
a8,7.7797711,Uracil,H
a9,7.964134774,Uracil,H
a10,8.05083865,Uracil,H
a11,7.754882355,Uracil,H
a12,7.479096814,Uracil,H
a13,6.734210506,Chenodeoxycholic_Acid,L
a14,5.776157859,Chenodeoxycholic_Acid,L
a15,6.423208313,Chenodeoxycholic_Acid,L
a16,5.854507834,Chenodeoxycholic_Acid,L
a17,5.837860268,Chenodeoxycholic_Acid,L
a18,6.10274866,Chenodeoxycholic_Acid,L
a19,6.991740206,Chenodeoxycholic_Acid,H
a20,6.745662534,Chenodeoxycholic_Acid,H
a21,6.673408861,Chenodeoxycholic_Acid,H
a22,6.664650703,Chenodeoxycholic_Acid,H
a23,6.876806027,Chenodeoxycholic_Acid,H
a24,6.361729093,Chenodeoxycholic_Acid,H
a25,7.456008022,D-lysopine,L
a26,7.452456718,D-lysopine,L
a27,7.34327723,D-lysopine,L
a28,7.334742711,D-lysopine,L
a29,7.249138391,D-lysopine,L
a30,7.114039804,D-lysopine,L
a31,7.339746533,D-lysopine,H
a32,7.396777565,D-lysopine,H
a33,7.733971276,D-lysopine,H
a34,7.827810629,D-lysopine,H
a35,7.731835263,D-lysopine,H
a36,7.543859294,D-lysopine,H
a37,6.640691471,Citric_acid,L
a38,6.886944194,Citric_acid,L
a39,6.277628191,Citric_acid,L
a40,6.394875135,Citric_acid,L
a41,6.464677909,Citric_acid,L
a42,5.997897532,Citric_acid,L
a43,6.672898557,Citric_acid,H
a44,6.942548554,Citric_acid,H
a45,6.753490285,Citric_acid,H
a46,7.125773923,Citric_acid,H
a47,6.951914862,Citric_acid,H
a48,6.990686794,Citric_acid,H
a49,6.340226361,agmatine,L
a50,6.087056693,agmatine,L
a51,6.401617594,agmatine,L
a52,6.334092201,agmatine,L
a53,6.179262742,agmatine,L
a54,6.401677476,agmatine,L
a55,6.044213462,agmatine,H
a56,6.628790635,agmatine,H
a57,6.122841277,agmatine,H
a58,5.587724716,agmatine,H
a59,6.560375548,agmatine,H
a60,5.992028481,agmatine,H
a61,15.51546826,Acetate,L
a62,6.357168311,Acetate,L
a63,8.337335025,Acetate,L
a64,16.08416736,Acetate,L
a65,14.99773675,Acetate,L
a66,6.424900686,Acetate,L
a67,24.90348849,Acetate,H
a68,34.23299119,Acetate,H
a69,24.74381071,Acetate,H
a70,57.43672795,Acetate,H
a71,29.44209242,Acetate,H
a72,17.53004801,Acetate,H
a73,6.573085732,Butyrate,L
a74,5.197339091,Butyrate,L
a75,4.431633762,Butyrate,L
a76,4.689490542,Butyrate,L
a77,5.00034825,Butyrate,L
a78,9.62559509,Butyrate,L
a79,18.07038301,Butyrate,H
a80,14.60252221,Butyrate,H
a81,11.88318516,Butyrate,H
a82,9.274107847,Butyrate,H
a83,5.271570048,Butyrate,H
a84,7.809514566,Butyrate,H
